auctionId,isSold
00277acc-dee5-4065-a580-c49dbde5c02e_6c6fd7b0-479e-43a9-9f65-d7a91ad08e75,False
0055d24f-bbf0-418d-84e7-df1d3124d6d6_60eaa750-6cea-4726-8d7d-503306894f6c,True
005bc881-b650-4ccc-baa6-850c9710b0ea_15181501-0213-47b0-b170-2fcd6c010a4f,True
008c5f32-c29f-4726-8315-a2a4f2d10fb2_a4a0167f-148f-465d-9d7a-eddcba89fcc5,False
00f96be1-59f2-43b6-a6d1-0668001cd08c_1014d516-42e4-4d0e-9a06-00415396dace,False
011ea517-cd49-4e4e-ad3a-1f1a51985656_a4bb651d-15da-4891-9a4d-2fd394888205,False
012d21a0-3809-4c02-9269-7f193dc5be21_2347e307-acf6-428c-899c-ca2a0d7ebf09,False
01419cb9-296a-4d65-8078-303cbb370b7e_2bfc2de0-c2be-4dcb-989f-e4ede0d6294b,False
01424778-6b51-4a4b-8ccd-6cc79fea05c9_f763ce68-30ff-46ed-8384-4bbe54769b07,False
015366d6-255b-4e73-ab99-79847cc11f77_96cb952d-0ee0-406a-9392-bc28d4e398a7,True
015ed42a-3694-43fe-bc5c-34017e4eeefd_7bab48bd-cd69-4f9f-9986-6647351416a6,True
01ecba6d-5cb4-4112-a605-8ec4f3c5ee1e_55a5670b-523f-4f27-9dc0-5d2ae6d62823,False
01eddda3-89f1-41ed-99f9-00667286e7b3_e2439faa-a361-4bf0-8c17-91bea7ce0424,False
0220e73a-fdf6-4978-9ecc-58f0e72a879c_585c7a8a-9a74-4141-bb93-c1374722d2bd,False
0221ca4d-a8c1-4229-a585-2aeb3cbc8252_eeac6023-8ff6-444f-a2ee-22744cb13bbf,True
02342964-6349-4756-b960-ef9af2e66636,True
02739d9a-f55b-4c03-9cde-e045c565d467_ff784e1a-6cb0-4f81-a9e3-9a5fab6b0e67,True
035802f0-b3e5-48f7-9159-2b04b4a8f7e3_86a786a0-7092-4ee2-bf21-5c480f01a771,False
035939ae-4145-4b7e-bb14-e2a78f074632,True
038372f1-b0ae-48a3-9265-84f337533fdf_65dd448c-35a3-4eff-896b-19f78f46934d,True
03945e4a-ba1f-47f5-a826-9436c8db30ad_23cb92cc-27d4-4123-80e1-4b82720eeed1,False
03b62982-33d8-4be9-b54d-5bd57118d4fb_8db64a71-d4e4-4f1c-afd3-ff6b25809ee1,True
